====================================================================================================
run_start_time: 2026-05-06 03:23:39
script: run_nerf_mofasgd.py
expname: fortress_100k_mflr3e-3
dataset_type: llff
datadir: ./data/nerf_llff_data/fortress
resume_start_step: 0
optimizer_setup:
  optimizer_main: MoFaSGD
  mofa_lr_init: 0.003
  mofa_rank: 64
  mofa_beta: 0.95
  mofa_weight_decay: 0.0
  mofa_eta1: 1.0
  mofa_eta2: 0.0
  mofa_eps: 0.0001
  mofa_use_reciprocal_s: False
  mofa_use_current_projection: False
  mofa_nesterov: False
  optimizer_aux: Adam
  aux_adam_lr_init: 0.0005
  aux_adam_betas: (0.9, 0.999)
  lrate_decay_ksteps: 250
  mofa_tensor_count: 20
  adam_tensor_count: 28
  mofa_total_params: 1185536
  adam_total_params: 6152
train_psnr_log:
iter=11500 global_step=11499 loss=0.0039310795 psnr=28.015131 mofa_lr=2.69851760e-03 adam_lr=4.49752933e-04
iter=11600 global_step=11599 loss=0.0038174987 psnr=27.816895 mofa_lr=2.69603332e-03 adam_lr=4.49338886e-04
iter=11700 global_step=11699 loss=0.0036954575 psnr=28.021530 mofa_lr=2.69355132e-03 adam_lr=4.48925220e-04
iter=11800 global_step=11799 loss=0.0048178784 psnr=26.653486 mofa_lr=2.69107161e-03 adam_lr=4.48511935e-04
iter=11900 global_step=11899 loss=0.0035363063 psnr=28.376596 mofa_lr=2.68859418e-03 adam_lr=4.48099031e-04
iter=12000 global_step=11999 loss=0.0040925620 psnr=27.682869 mofa_lr=2.68611904e-03 adam_lr=4.47686506e-04
iter=12100 global_step=12099 loss=0.0040149787 psnr=27.616165 mofa_lr=2.68364617e-03 adam_lr=4.47274361e-04
iter=12200 global_step=12199 loss=0.0036642984 psnr=28.393536 mofa_lr=2.68117558e-03 adam_lr=4.46862596e-04
iter=12300 global_step=12299 loss=0.0037742332 psnr=27.738001 mofa_lr=2.67870726e-03 adam_lr=4.46451210e-04
iter=12400 global_step=12399 loss=0.0036828264 psnr=27.904596 mofa_lr=2.67624122e-03 adam_lr=4.46040203e-04
iter=12500 global_step=12499 loss=0.0035013924 psnr=28.366806 mofa_lr=2.67377744e-03 adam_lr=4.45629573e-04
iter=12600 global_step=12599 loss=0.0043797307 psnr=27.108519 mofa_lr=2.67131593e-03 adam_lr=4.45219322e-04
iter=12700 global_step=12699 loss=0.0037059756 psnr=27.899864 mofa_lr=2.66885669e-03 adam_lr=4.44809449e-04
iter=12800 global_step=12799 loss=0.0033670163 psnr=28.282988 mofa_lr=2.66639972e-03 adam_lr=4.44399953e-04
iter=12900 global_step=12899 loss=0.0045040101 psnr=27.214069 mofa_lr=2.66394500e-03 adam_lr=4.43990834e-04
iter=13000 global_step=12999 loss=0.0036781800 psnr=28.134106 mofa_lr=2.66149255e-03 adam_lr=4.43582092e-04
iter=13100 global_step=13099 loss=0.0036625927 psnr=27.998644 mofa_lr=2.65904235e-03 adam_lr=4.43173725e-04
iter=13200 global_step=13199 loss=0.0038178852 psnr=27.829826 mofa_lr=2.65659441e-03 adam_lr=4.42765735e-04
iter=13300 global_step=13299 loss=0.0037817631 psnr=28.128576 mofa_lr=2.65414872e-03 adam_lr=4.42358121e-04
iter=13400 global_step=13399 loss=0.0035492755 psnr=28.095816 mofa_lr=2.65170529e-03 adam_lr=4.41950881e-04
iter=13500 global_step=13499 loss=0.0035420374 psnr=28.214233 mofa_lr=2.64926410e-03 adam_lr=4.41544017e-04
iter=13600 global_step=13599 loss=0.0035394854 psnr=28.418045 mofa_lr=2.64682516e-03 adam_lr=4.41137527e-04
iter=13700 global_step=13699 loss=0.0033176348 psnr=28.126989 mofa_lr=2.64438847e-03 adam_lr=4.40731411e-04
iter=13800 global_step=13799 loss=0.0033474755 psnr=28.550119 mofa_lr=2.64195402e-03 adam_lr=4.40325670e-04
iter=13900 global_step=13899 loss=0.0037835296 psnr=27.917843 mofa_lr=2.63952181e-03 adam_lr=4.39920302e-04
iter=14000 global_step=13999 loss=0.0039981976 psnr=27.841194 mofa_lr=2.63709184e-03 adam_lr=4.39515306e-04
iter=14100 global_step=14099 loss=0.0035946467 psnr=28.187611 mofa_lr=2.63466411e-03 adam_lr=4.39110684e-04
iter=14200 global_step=14199 loss=0.0037990611 psnr=28.027773 mofa_lr=2.63223861e-03 adam_lr=4.38706435e-04
iter=14300 global_step=14299 loss=0.0034833157 psnr=28.328245 mofa_lr=2.62981534e-03 adam_lr=4.38302557e-04
iter=14400 global_step=14399 loss=0.0037458441 psnr=28.049582 mofa_lr=2.62739431e-03 adam_lr=4.37899051e-04
iter=14500 global_step=14499 loss=0.0038546219 psnr=27.954842 mofa_lr=2.62497550e-03 adam_lr=4.37495917e-04
iter=14600 global_step=14599 loss=0.0035820820 psnr=28.338198 mofa_lr=2.62255892e-03 adam_lr=4.37093154e-04
iter=14700 global_step=14699 loss=0.0040560393 psnr=28.168821 mofa_lr=2.62014457e-03 adam_lr=4.36690762e-04
iter=14800 global_step=14799 loss=0.0034507439 psnr=28.356369 mofa_lr=2.61773244e-03 adam_lr=4.36288740e-04
iter=14900 global_step=14899 loss=0.0037592950 psnr=27.798992 mofa_lr=2.61532253e-03 adam_lr=4.35887088e-04
iter=15000 global_step=14999 loss=0.0034008748 psnr=28.305058 mofa_lr=2.61291484e-03 adam_lr=4.35485806e-04
iter=15100 global_step=15099 loss=0.0038063969 psnr=28.112606 mofa_lr=2.61050936e-03 adam_lr=4.35084893e-04
iter=15200 global_step=15199 loss=0.0035050386 psnr=28.332788 mofa_lr=2.60810610e-03 adam_lr=4.34684350e-04
iter=15300 global_step=15299 loss=0.0037108387 psnr=28.069315 mofa_lr=2.60570505e-03 adam_lr=4.34284175e-04
iter=15400 global_step=15399 loss=0.0033218851 psnr=28.546558 mofa_lr=2.60330621e-03 adam_lr=4.33884369e-04
iter=15500 global_step=15499 loss=0.0037574940 psnr=28.199387 mofa_lr=2.60090958e-03 adam_lr=4.33484930e-04
iter=15600 global_step=15599 loss=0.0038315232 psnr=28.304815 mofa_lr=2.59851516e-03 adam_lr=4.33085860e-04
iter=15700 global_step=15699 loss=0.0035113045 psnr=28.538685 mofa_lr=2.59612294e-03 adam_lr=4.32687157e-04
iter=15800 global_step=15799 loss=0.0034113121 psnr=28.297358 mofa_lr=2.59373292e-03 adam_lr=4.32288821e-04
iter=15900 global_step=15899 loss=0.0034144761 psnr=28.220440 mofa_lr=2.59134511e-03 adam_lr=4.31890851e-04
iter=16000 global_step=15999 loss=0.0035829742 psnr=28.354805 mofa_lr=2.58895949e-03 adam_lr=4.31493248e-04
iter=16100 global_step=16099 loss=0.0034439759 psnr=28.271099 mofa_lr=2.58657607e-03 adam_lr=4.31096011e-04
iter=16200 global_step=16199 loss=0.0037099156 psnr=28.024546 mofa_lr=2.58419484e-03 adam_lr=4.30699140e-04
iter=16300 global_step=16299 loss=0.0037222584 psnr=28.140074 mofa_lr=2.58181580e-03 adam_lr=4.30302634e-04
iter=16400 global_step=16399 loss=0.0039993771 psnr=28.553364 mofa_lr=2.57943896e-03 adam_lr=4.29906493e-04
iter=16500 global_step=16499 loss=0.0041050776 psnr=27.921164 mofa_lr=2.57706430e-03 adam_lr=4.29510717e-04
iter=16600 global_step=16599 loss=0.0032316383 psnr=28.793377 mofa_lr=2.57469183e-03 adam_lr=4.29115305e-04
iter=16700 global_step=16699 loss=0.0035982758 psnr=28.397896 mofa_lr=2.57232154e-03 adam_lr=4.28720257e-04
iter=16800 global_step=16799 loss=0.0034637025 psnr=28.483116 mofa_lr=2.56995344e-03 adam_lr=4.28325573e-04
iter=16900 global_step=16899 loss=0.0036704754 psnr=28.246761 mofa_lr=2.56758751e-03 adam_lr=4.27931252e-04
iter=17000 global_step=16999 loss=0.0036792532 psnr=27.967482 mofa_lr=2.56522377e-03 adam_lr=4.27537294e-04
iter=17100 global_step=17099 loss=0.0036071818 psnr=28.317907 mofa_lr=2.56286219e-03 adam_lr=4.27143699e-04
iter=17200 global_step=17199 loss=0.0036847915 psnr=28.506105 mofa_lr=2.56050280e-03 adam_lr=4.26750466e-04
iter=17300 global_step=17299 loss=0.0037386462 psnr=27.919127 mofa_lr=2.55814557e-03 adam_lr=4.26357596e-04
iter=17400 global_step=17399 loss=0.0037394078 psnr=28.407223 mofa_lr=2.55579052e-03 adam_lr=4.25965086e-04
iter=17500 global_step=17499 loss=0.0035889582 psnr=28.823977 mofa_lr=2.55343763e-03 adam_lr=4.25572939e-04
iter=17600 global_step=17599 loss=0.0031201837 psnr=28.866722 mofa_lr=2.55108691e-03 adam_lr=4.25181152e-04
iter=17700 global_step=17699 loss=0.0028856611 psnr=29.626575 mofa_lr=2.54873836e-03 adam_lr=4.24789726e-04
iter=17800 global_step=17799 loss=0.0033606030 psnr=28.716019 mofa_lr=2.54639196e-03 adam_lr=4.24398660e-04
iter=17900 global_step=17899 loss=0.0034754795 psnr=28.814856 mofa_lr=2.54404773e-03 adam_lr=4.24007955e-04
iter=18000 global_step=17999 loss=0.0032704021 psnr=28.895380 mofa_lr=2.54170565e-03 adam_lr=4.23617609e-04
iter=18100 global_step=18099 loss=0.0029465740 psnr=29.133232 mofa_lr=2.53936573e-03 adam_lr=4.23227622e-04
iter=18200 global_step=18199 loss=0.0031579020 psnr=28.906096 mofa_lr=2.53702797e-03 adam_lr=4.22837995e-04
iter=18300 global_step=18299 loss=0.0032630449 psnr=28.978922 mofa_lr=2.53469235e-03 adam_lr=4.22448726e-04
iter=18400 global_step=18399 loss=0.0034433454 psnr=28.554289 mofa_lr=2.53235889e-03 adam_lr=4.22059815e-04
